day,platform,format,file,hook,cta
"1","TikTok/Reels","Quote graphic","assets/generated/month-01/vertical/day-01-lead-leakage.png","La mayoria de las inmobiliarias no tiene un problema de marketing","Comenta MAPA"
"2","X","Quote graphic","assets/generated/month-01/vertical/day-02-lead-leakage.png","El lead no se pierde cuando dice que no","Responde FUGA"
"3","Instagram","Quote graphic","assets/generated/month-01/vertical/day-03-infraestructura-comercial.png","No necesitas mas IA si tu operacion sigue perdiendo leads","DM MAPA"
"4","TikTok/Reels","Pseudo-video simple","assets/generated/month-01/vertical/day-04-lead-leakage.png","Asi se pierde un lead inmobiliario en 47 minutos","Comenta FUGA"
"5","X","Quote graphic","assets/generated/month-01/vertical/day-05-tiempo-de-enfriamiento.png","Cada minuto sin respuesta enfria el lead","Responde VELOCIDAD"
"6","Instagram","Fake UI carousel","assets/generated/month-01/vertical/day-06-caos-comercial.png","Tu CRM no esta roto: tu infraestructura comercial tiene fuga","Guarda este post"
"7","TikTok/Reels","Quote graphic","assets/generated/month-01/vertical/day-07-infraestructura-comercial.png","Un chatbot responde, pero no evita la fuga operacional","Comenta SISTEMA"
"8","X","Quote graphic","assets/generated/month-01/vertical/day-08-lead-leakage.png","Culpar a Meta Ads es facil","Responde FUGA"
"9","Instagram","Pseudo-video simple","assets/generated/month-01/vertical/day-09-proof-based.png","Mismo lead, dos operaciones distintas: una pierde por fuga operacional","DM MAPA"
"10","TikTok/Reels","Carrusel","assets/generated/month-01/vertical/day-10-framework.png","7 puntos donde se rompe la infraestructura comercial inmobiliaria","Comenta CHECKLIST"
"11","X","Quote graphic","assets/generated/month-01/vertical/day-11-lead-leakage.png","Mas leads no arreglan un proceso lento","Responde LEADS"
"12","Instagram","Quote graphic","assets/generated/month-01/vertical/day-12-infraestructura-comercial.png","LeadOps AI no vende IA ni hype","DM AUDITORIA"
"13","TikTok/Reels","Pseudo-video simple","assets/generated/month-01/vertical/day-13-tiempo-de-enfriamiento.png","El lead que llega a las 22:14 no espera hasta manana","Comenta NOCHE"
"14","X","Quote graphic","assets/generated/month-01/vertical/day-14-caos-comercial.png","La memoria del vendedor no es infraestructura comercial","Responde SEGUIMIENTO"
"15","Instagram","Fake UI carousel","assets/generated/month-01/vertical/day-15-fake-ui.png","Asi deberia llegar un lead al broker para evitar fuga operacional","DM RESUMEN"
"16","TikTok/Reels","Quote graphic","assets/generated/month-01/vertical/day-16-lead-leakage.png","La fuga de leads casi nunca se ve en el dashboard","Comenta FUGA"
"17","X","Carrusel","assets/generated/month-01/vertical/day-17-framework.png","El sistema pre-vendedor existe porque el seguimiento manual se rompe","Responde SISTEMA"
"18","Instagram","Quote graphic","assets/generated/month-01/vertical/day-18-infraestructura-comercial.png","La IA es el mecanismo","Guarda este post"
"19","TikTok/Reels","Pseudo-video simple","assets/generated/month-01/vertical/day-19-proof-based.png","Antes: lead sin contexto. Despues: menos fuga operacional","Comenta ANTES"
"20","X","Quote graphic","assets/generated/month-01/vertical/day-20-lead-leakage.png","Si no sabes cuantos leads se enfrian, no sabes cuanto te cuesta el caos","Responde CAC"
"21","Instagram","Fake UI carousel","assets/generated/month-01/vertical/day-21-caos-comercial.png","Sin pipeline operativo, el caos comercial se vuelve invisible","DM PIPELINE"
"22","TikTok/Reels","Quote graphic","assets/generated/month-01/vertical/day-22-tiempo-de-enfriamiento.png","El primer seguimiento no deberia depender de suerte ni memoria","Comenta SEGUIMIENTO"
"23","X","Quote graphic","assets/generated/month-01/vertical/day-23-lead-leakage.png","El problema no es generar demanda si tu infraestructura comercial tiene fuga","Responde MAPA"
"24","Instagram","Carrusel","assets/generated/month-01/vertical/day-24-framework.png","Checklist de infraestructura comercial para encontrar fuga operacional","Guarda este checklist"
"25","TikTok/Reels","Fake UI content","assets/generated/month-01/vertical/day-25-fake-ui.png","Simulacion: lead pregunta precio y la venta se puede romper ahi","Comenta PRECIO"
"26","X","Quote graphic","assets/generated/month-01/vertical/day-26-infraestructura-comercial.png","Las inmobiliarias no compran automatizacion","Responde CONTROL"
"27","Instagram","Quote graphic","assets/generated/month-01/vertical/day-27-lead-leakage.png","Lead leakage es cuando pagas por oportunidades que tu operacion deja enfriar","DM FUGA"
"28","TikTok/Reels","Pseudo-video simple","assets/generated/month-01/vertical/day-28-proof-based.png","El mismo lead con y sin sistema pre-vendedor muestra la fuga","Comenta SISTEMA"
"29","X","Carrusel","assets/generated/month-01/vertical/day-29-framework.png","Como ordenar el primer tramo comercial cuando la fuga ya existe","Responde 30DIAS"
"30","Instagram","Quote graphic","assets/generated/month-01/vertical/day-30-oferta.png","Si tu primer tramo comercial pierde leads, lo ordenamos en 30 dias","DM AUDITORIA"
